product1_Id,product2_Id,distance
15,86,4.0300007
15,9,4.0329227
15,52,4.042605
15,51,4.042605
15,75,4.048979
15,67,4.048979
15,68,4.048979
15,81,4.049096
15,38,4.0509877
15,79,4.0511026
15,82,4.0511026
15,77,4.0511026
15,53,4.051315
15,46,4.059011
15,44,4.059011
15,49,4.059011
15,48,4.059011
15,50,4.059011
15,45,4.059011
15,47,4.059011
15,11,4.146697
15,31,4.1741295
15,28,4.5984545
15,29,4.5984545
15,27,4.5984545
15,13,4.5984545
15,76,4.664875
15,85,5.941086
15,83,5.9410863
16,16,4.7683716e-07
16,30,2.0017414
16,5,2.0024104
16,10,2.0172586
16,9,2.0329227
16,17,4.0000005
16,14,4.0000005
16,15,4.0000005
16,80,4.0004315
16,25,4.000889
16,3,4.0022216
16,6,4.0024104
16,7,4.0024104
16,4,4.0024104
16,54,4.0048285
16,42,4.0098963
16,65,4.0142126
16,40,4.0197535
16,24,4.0223775
16,23,4.0223775
16,22,4.026207
16,21,4.026207
16,2,4.028372
16,32,4.028372
16,86,4.0300007
16,52,4.042605
16,51,4.042605
16,78,4.042885
16,67,4.048979
16,75,4.048979
16,68,4.048979
16,81,4.049096
16,38,4.0509877
16,79,4.0511026
16,82,4.0511026
16,84,4.0511026
16,77,4.0511026
16,53,4.051315
16,50,4.059011
16,45,4.059011
16,49,4.059011
16,47,4.059011
16,46,4.059011
16,44,4.059011
16,48,4.059011
16,43,4.0839143
16,11,4.146697
16,31,4.1741295
16,18,4.440562
16,28,4.5984545
16,13,4.5984545
16,29,4.5984545
16,27,4.5984545
16,76,4.664875
16,20,4.998555
16,39,5.0153084
16,85,5.941086
16,83,5.9410863
17,17,4.7683716e-07
17,18,0.440562
17,15,2.0000005
17,14,2.0000005
17,78,2.0428846
17,84,2.0511026
17,43,2.0839143
17,20,2.9985552
17,39,3.0153086
17,16,4.0000005
17,80,4.0004315
17,25,4.000889
17,30,4.0017414
17,3,4.0022216
17,5,4.0024104
17,4,4.0024104
17,6,4.0024104
17,7,4.0024104
17,54,4.0048285
17,42,4.0098963
17,65,4.0142126
17,10,4.0172586
17,40,4.0197535
17,24,4.0223775
17,23,4.0223775
17,21,4.026207
17,22,4.026207
17,2,4.028372
17,32,4.028372
17,86,4.0300007
17,9,4.0329227
17,52,4.042605
17,51,4.042605
17,75,4.048979
17,67,4.048979
17,68,4.048979
17,81,4.049096
17,38,4.0509877
17,79,4.0511026
17,82,4.0511026
17,77,4.0511026
17,53,4.051315
17,46,4.059011
17,44,4.059011
17,49,4.059011
17,48,4.059011
17,50,4.059011
17,45,4.059011
17,47,4.059011
17,11,4.146697
17,31,4.1741295
17,28,4.5984545
17,29,4.5984545
17,27,4.5984545
17,13,4.5984545
17,76,4.664875
17,85,5.941086
17,83,5.9410863
18,18,0.0
18,17,0.440562
18,43,2.1399271
18,78,2.209444
18,15,2.440562
18,14,2.440562
18,84,2.785443
18,39,3.0675082
18,20,3.090817
18,27,4.0122404
18,28,4.0122404
18,13,4.0122404
18,29,4.0122404
18,31,4.060743
18,11,4.0788136
18,47,4.1770954
18,48,4.1770954
18,49,4.1770954
18,44,4.1770954
18,45,4.1770954
18,46,4.1770954
